State,District,Date_of_Marriage,Month_of_Marriage,Year_of_Marriage,Auspicious_date
2,1,20,7,1964,0
2,1,16,3,1980,0
2,1,10,6,1981,1
2,1,12,3,1982,1
2,1,27,2,1982,1
2,1,28,12,1982,0
2,1,10,3,1983,0
2,1,13,3,1983,0
2,1,4,11,1984,1
2,1,6,2,1984,1
2,1,10,12,1984,0
2,1,11,2,1984,1
2,1,23,3,1984,0
2,1,23,4,1984,1
2,1,2,2,1985,0
2,1,2,5,1985,1
2,1,2,12,1985,0
2,1,3,5,1985,0
2,1,4,5,1985,0
2,1,10,3,1985,1
2,1,10,10,1985,0
2,1,12,11,1985,0
2,1,13,4,1985,0
2,1,14,2,1985,1
2,1,17,1,1985,0
2,1,18,5,1985,0
2,1,20,1,1985,0
2,1,20,6,1985,0
2,1,25,7,1985,0
2,1,27,2,1985,0
2,1,28,4,1985,0
2,1,29,4,1985,1
2,1,30,5,1985,1
2,1,4,2,1986,0
2,1,6,12,1986,0
2,1,7,3,1986,0
2,1,7,4,1986,0
2,1,9,12,1986,1
2,1,10,12,1986,1
2,1,12,3,1986,0
2,1,12,7,1986,1
2,1,18,5,1986,1
2,1,19,9,1986,0
2,1,20,6,1986,1
2,1,21,11,1986,0
2,1,25,1,1986,0
2,1,25,7,1986,0
2,1,2,8,1987,0
2,1,3,5,1987,0
2,1,3,7,1987,1
2,1,9,8,1987,0
2,1,10,12,1987,0
2,1,12,1,1987,0
2,1,12,2,1987,0
2,1,12,5,1987,0
2,1,12,12,1987,0
2,1,14,7,1987,0
2,1,21,11,1987,1
2,1,27,10,1987,0
2,1,2,6,1988,0
2,1,2,7,1988,0
2,1,2,11,1988,0
2,1,2,12,1988,1
2,1,8,10,1988,0
2,1,9,2,1988,0
2,1,11,1,1988,0
2,1,13,8,1988,0
2,1,15,1,1988,1
2,1,16,4,1988,0
2,1,20,10,1988,0
2,1,21,3,1988,0
2,1,25,6,1988,1
2,1,28,12,1988,0
2,1,31,12,1988,0
2,1,2,1,1989,0
2,1,2,9,1989,0
2,1,3,3,1989,0
2,1,3,10,1989,0
2,1,4,2,1989,1
2,1,5,5,1989,0
2,1,8,11,1989,0
2,1,12,9,1989,0
2,1,16,2,1989,0
2,1,17,7,1989,0
2,1,18,11,1989,0
2,1,19,11,1989,0
2,1,22,7,1989,0
2,1,24,6,1989,0
2,1,25,2,1989,0
2,1,1,1,1990,0
2,1,2,1,1990,0
2,1,2,2,1990,0
2,1,2,5,1990,0
2,1,3,1,1990,0
2,1,3,2,1990,0
2,1,3,4,1990,0
2,1,4,2,1990,1
2,1,5,2,1990,1
2,1,6,2,1990,0
2,1,6,5,1990,1
2,1,8,3,1990,0
2,1,10,12,1990,1
2,1,11,3,1990,0
2,1,12,11,1990,0
2,1,17,1,1990,0
2,1,19,3,1990,0
2,1,20,9,1990,0
2,1,21,2,1990,0
2,1,23,3,1990,0
2,1,23,12,1990,0
2,1,25,12,1990,0
2,1,27,4,1990,1
2,1,27,10,1990,0
2,1,1,2,1991,1
2,1,2,1,1991,0
2,1,2,2,1991,1
2,1,2,3,1991,0
2,1,2,6,1991,1
2,1,3,1,1991,0
2,1,3,2,1991,1
2,1,3,3,1991,0
2,1,3,4,1991,0
2,1,4,3,1991,1
2,1,4,6,1991,0
2,1,6,5,1991,0
2,1,8,10,1991,0
2,1,10,10,1991,0
2,1,12,4,1991,0
2,1,12,5,1991,0
2,1,12,7,1991,0
2,1,20,5,1991,0
2,1,21,4,1991,0
2,1,21,11,1991,0
2,1,30,7,1991,0
2,1,2,12,1992,0
2,1,3,2,1992,0
2,1,4,1,1992,0
2,1,4,2,1992,0
2,1,4,3,1992,0
2,1,4,12,1992,1
2,1,6,5,1992,0
2,1,8,9,1992,0
2,1,9,12,1992,1
2,1,10,5,1992,0
2,1,10,12,1992,1
2,1,12,4,1992,0
2,1,13,11,1992,1
2,1,14,4,1992,1
2,1,19,4,1992,0
2,1,20,11,1992,1
2,1,25,12,1992,0
2,1,30,12,1992,0
2,1,2,3,1993,1
2,1,3,5,1993,1
2,1,3,7,1993,0
2,1,4,9,1993,0
2,1,4,11,1993,0
2,1,5,5,1993,1
2,1,6,6,1993,1
2,1,7,5,1993,1
2,1,8,3,1993,0
2,1,8,5,1993,0
2,1,10,3,1993,1
2,1,10,5,1993,1
2,1,10,11,1993,0
2,1,10,12,1993,1
2,1,13,7,1993,0
2,1,16,2,1993,0
2,1,18,2,1993,1
2,1,19,1,1993,1
2,1,20,1,1993,0
2,1,21,5,1993,0
2,1,21,6,1993,0
2,1,21,7,1993,0
2,1,23,12,1993,0
2,1,25,7,1993,0
2,1,27,10,1993,0
2,1,27,11,1993,0
