state,district
Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh,Anakapalli
Andhra Pradesh,Ananthapuramu
Andhra Pradesh,Annamayya
Andhra Pradesh,Bapatla
Andhra Pradesh,Chittoor
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema
Andhra Pradesh,East Godavari
Andhra Pradesh,Eluru
Andhra Pradesh,Guntur
Andhra Pradesh,Kakinada
Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool
Andhra Pradesh,Nandyal
Andhra Pradesh,Nellore
Andhra Pradesh,NTR
Andhra Pradesh,Palnadu
Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh,Prakasam
Andhra Pradesh,Srikakulam
Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh,Tirupati
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,West Godavari
Andhra Pradesh,YSR Kadapa
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Changlang
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Kamle
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Lepa Rada
Arunachal Pradesh,Lohit
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Namsai
Arunachal Pradesh,Pakke-Kessang
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Siang
Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Dibang Valley
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Arunachal Pradesh,West Siang
Arunachal Pradesh,Keyi Panyor
Arunachal Pradesh,Bichom
Assam,Baksa
Assam,Bajali
Assam,Barpeta
Assam,Biswanath
Assam,Bongaigaon
Assam,Cachar
Assam,Charaideo
Assam,Chirang
Assam,Darrang
Assam,Dhemaji
Assam,Dhubri
Assam,Dibrugarh
Assam,Dima Hasao
Assam,Goalpara
Assam,Golaghat
Assam,Hailakandi
Assam,Hojai
Assam,Jorhat
Assam,Kamrup
Assam,Kamrup Metropolitan
Assam,Karbi Anglong
Assam,Karimganj
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Majuli
Assam,Morigaon
Assam,Nagaon
Assam,Nalbari
Assam,Sivasagar
Assam,Sonitpur
Assam,South Salmara-Mankachar
Assam,Tamulpur
Assam,Tinsukia
Assam,Udalguri
Assam,West Karbi Anglong
Bihar,Araria
Bihar,Arwal
Bihar,Aurangabad
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,East Champaran
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jamui
Bihar,Jehanabad
Bihar,Kaimur
Bihar,Katihar
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Madhubani
Bihar,Munger
Bihar,Muzaffarpur
Bihar,Nalanda
Bihar,Nawada
Bihar,Patna
Bihar,Purnia
Bihar,Rohtas
Bihar,Saharsa
Bihar,Samastipur
Bihar,Saran
Bihar,Sheikhpura
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Siwan
Bihar,Supaul
Bihar,Vaishali
Bihar,West Champaran
Chhattisgarh,Balod
Chhattisgarh,Baloda Bazar
Chhattisgarh,Balrampur-Ramanujganj
Chhattisgarh,Bastar
Chhattisgarh,Bemetara
Chhattisgarh,Bijapur
Chhattisgarh,Bilaspur
Chhattisgarh,Dantewada
Chhattisgarh,Dhamtari
Chhattisgarh,Durg
Chhattisgarh,Gariaband
Chhattisgarh,Gaurela-Pendra-Marwahi
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Jashpur
Chhattisgarh,Kabirdham
Chhattisgarh,Kanker
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai
Chhattisgarh,Kondagaon
Chhattisgarh,Korba
Chhattisgarh,Korea
Chhattisgarh,Mahasamund
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki
Chhattisgarh,Mungeli
Chhattisgarh,Narayanpur
Chhattisgarh,Raigarh
Chhattisgarh,Raipur
Chhattisgarh,Rajnandgaon
Chhattisgarh,Sarangarh-Bilaigarh
Chhattisgarh,Sakti
Chhattisgarh,Sukma
Chhattisgarh,Surajpur
Chhattisgarh,Surguja
Goa,North Goa
Goa,South Goa
Gujarat,Ahmedabad
Gujarat,Amreli
Gujarat,Anand
Gujarat,Aravalli
Gujarat,Banaskantha
Gujarat,Bharuch
Gujarat,Bhavnagar
Gujarat,Botad
Gujarat,Chhota Udaipur
Gujarat,Dahod
Gujarat,Dang
Gujarat,Devbhumi Dwarka
Gujarat,Gandhinagar
Gujarat,Gir Somnath
Gujarat,Jamnagar
Gujarat,Junagadh
Gujarat,Kheda
Gujarat,Kutch
Gujarat,Mahisagar
Gujarat,Mehsana
Gujarat,Morbi
Gujarat,Narmada
Gujarat,Navsari
Gujarat,Panchmahal
Gujarat,Patan
Gujarat,Porbandar
Gujarat,Rajkot
Gujarat,Sabarkantha
Gujarat,Surat
Gujarat,Surendranagar
Gujarat,Tapi
Gujarat,Vadodara
Gujarat,Valsad
Gujarat,Vav-Tharad
Haryana,Ambala
Haryana,Bhiwani
Haryana,Charkhi Dadri
Haryana,Faridabad
Haryana,Fatehabad
Haryana,Gurugram
Haryana,Hisar
Haryana,Jhajjar
Haryana,Jind
Haryana,Kaithal
Haryana,Karnal
Haryana,Kurukshetra
Haryana,Mahendragarh
Haryana,Nuh
Haryana,Palwal
Haryana,Panchkula
Haryana,Panipat
Haryana,Rewari
Haryana,Rohtak
Haryana,Sirsa
Haryana,Sonipat
Haryana,Yamunanagar
Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba
Himachal Pradesh,Hamirpur
Himachal Pradesh,Kangra
Himachal Pradesh,Kinnaur
Himachal Pradesh,Kullu
Himachal Pradesh,Lahaul and Spiti
Himachal Pradesh,Mandi
Himachal Pradesh,Shimla
Himachal Pradesh,Sirmaur
Himachal Pradesh,Solan
Himachal Pradesh,Una
Jharkhand,Bokaro
Jharkhand,Chatra
Jharkhand,Deoghar
Jharkhand,Dhanbad
Jharkhand,Dumka
Jharkhand,East Singhbhum
Jharkhand,Garhwa
Jharkhand,Giridih
Jharkhand,Godda
Jharkhand,Gumla
Jharkhand,Hazaribag
Jharkhand,Jamtara
Jharkhand,Khunti
Jharkhand,Koderma
Jharkhand,Latehar
Jharkhand,Lohardaga
Jharkhand,Pakur
Jharkhand,Palamu
Jharkhand,Ramgarh
Jharkhand,Ranchi
Jharkhand,Sahibganj
Jharkhand,Seraikela-Kharsawan
Jharkhand,Simdega
Jharkhand,West Singhbhum
Karnataka,Bagalkot
Karnataka,Ballari
Karnataka,Belagavi
Karnataka,Bangalore Rural
Karnataka,Bangalore Urban
Karnataka,Bidar
Karnataka,Chamarajanagar
Karnataka,Chikkaballapur
Karnataka,Chikmagalur
Karnataka,Chitradurga
Karnataka,Dakshina Kannada
Karnataka,Davanagere
Karnataka,Dharwad
Karnataka,Gadaga
Karnataka,Kalaburagi
Karnataka,Hassan
Karnataka,Haveri
Karnataka,Kodagu
Karnataka,Kolar
Karnataka,Koppal
Karnataka,Mandya
Karnataka,Mysore
Karnataka,Raichur
Karnataka,Ramanagara
Karnataka,Shimoga
Karnataka,Tumakuru
Karnataka,Udupi
Karnataka,Uttara Kannada
Karnataka,Vijayanagara
Karnataka,Bijapur
Karnataka,Yadgir
Kerala,Alappuzha
Kerala,Ernakulam
Kerala,Idukki
Kerala,Kannur
Kerala,Kasaragod
Kerala,Kollam
Kerala,Kottayam
Kerala,Kozhikode
Kerala,Malappuram
Kerala,Palakkad
Kerala,Pathanamthitta
Kerala,Thiruvananthapuram
Kerala,Thrissur
Kerala,Wayanad
Madhya Pradesh,Agar Malwa
Madhya Pradesh,Alirajpur
Madhya Pradesh,Anuppur
Madhya Pradesh,Ashoknagar
Madhya Pradesh,Balaghat
Madhya Pradesh,Barwani
Madhya Pradesh,Betul
Madhya Pradesh,Bhind
Madhya Pradesh,Bhopal
Madhya Pradesh,Burhanpur
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Chhindwara
Madhya Pradesh,Damoh
Madhya Pradesh,Datia
Madhya Pradesh,Dewas
Madhya Pradesh,Dhar
Madhya Pradesh,Dindori
Madhya Pradesh,Guna
Madhya Pradesh,Gwalior
Madhya Pradesh,Harda
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Indore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Jhabua
Madhya Pradesh,Katni
Madhya Pradesh,Khandwa
Madhya Pradesh,Khargone
Madhya Pradesh,Maihar
Madhya Pradesh,Mandla
Madhya Pradesh,Mandsaur
Madhya Pradesh,Mauganj
Madhya Pradesh,Morena
Madhya Pradesh,Narsinghpur
Madhya Pradesh,Neemuch
Madhya Pradesh,Niwari
Madhya Pradesh,Panna
Madhya Pradesh,Pandhurna
Madhya Pradesh,Raisen
Madhya Pradesh,Rajgarh
Madhya Pradesh,Ratlam
Madhya Pradesh,Rewa
Madhya Pradesh,Sagar
Madhya Pradesh,Satna
Madhya Pradesh,Sehore
Madhya Pradesh,Seoni
Madhya Pradesh,Shahdol
Madhya Pradesh,Shajapur
Madhya Pradesh,Sheopur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Sidhi
Madhya Pradesh,Singrauli
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Ujjain
Madhya Pradesh,Umaria
Madhya Pradesh,Vidisha
Maharashtra,Ahmednagar
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Aurangabad
Maharashtra,Beed
Maharashtra,Bhandara
Maharashtra,Buldhana
Maharashtra,Chandrapur
Maharashtra,Osmanabad
Maharashtra,Dhule
Maharashtra,Gadchiroli
Maharashtra,Gondia
Maharashtra,Hingoli
Maharashtra,Jalgaon
Maharashtra,Jalna
Maharashtra,Kolhapur
Maharashtra,Latur
Maharashtra,Mumbai City
Maharashtra,Mumbai Suburban
Maharashtra,Nanded
Maharashtra,Nandurbar
Maharashtra,Nagpur
Maharashtra,Nashik
Maharashtra,Palghar
Maharashtra,Parbhani
Maharashtra,Pune
Maharashtra,Raigad
Maharashtra,Ratnagiri
Maharashtra,Sangli
Maharashtra,Satara
Maharashtra,Sindhudurg
Maharashtra,Solapur
Maharashtra,Thane
Maharashtra,Wardha
Maharashtra,Washim
Maharashtra,Yavatmal
Manipur,Bishnupur
Manipur,Chandel
Manipur,Churachandpur
Manipur,Imphal East
Manipur,Imphal West
Manipur,Jiribam
Manipur,Kakching
Manipur,Kamjong
Manipur,Kangpokpi
Manipur,Noney
Manipur,Pherzawl
Manipur,Senapati
Manipur,Tamenglong
Manipur,Tengnoupal
Manipur,Thoubal
Manipur,Ukhrul
Meghalaya,East Garo Hills
Meghalaya,East Jaintia Hills
Meghalaya,East Khasi Hills
Meghalaya,Eastern West Khasi Hills
Meghalaya,North Garo Hills
Meghalaya,Ri Bhoi
Meghalaya,South Garo Hills
Meghalaya,South West Garo Hills
Meghalaya,South West Khasi Hills
Meghalaya,West Garo Hills
Meghalaya,West Jaintia Hills
Meghalaya,West Khasi Hills
Mizoram,Aizawl
Mizoram,Champhai
Mizoram,Hnahthial
Mizoram,Khawzawl
Mizoram,Kolasib
Mizoram,Lawngtlai
Mizoram,Lunglei
Mizoram,Mamit
Mizoram,Saiha
Mizoram,Saitual
Mizoram,Serchhip
Nagaland,Chümoukedima
Nagaland,Dimapur
Nagaland,Kiphire
Nagaland,Kohima
Nagaland,Longleng
Nagaland,Mokokchung
Nagaland,Mon
Nagaland,Niuland
Nagaland,Noklak
Nagaland,Peren
Nagaland,Phek
Nagaland,Shamator
Nagaland,Tseminyü
Nagaland,Tuensang
Nagaland,Wokha
Nagaland,Zunheboto
Odisha,Angul
Odisha,Boudh
Odisha,Bhadrak
Odisha,Balangir
Odisha,Bargarh
Odisha,Balasore
Odisha,Cuttack
Odisha,Debagarh
Odisha,Dhenkanal
Odisha,Ganjam
Odisha,Gajapati
Odisha,Jharsuguda
Odisha,Jajpur
Odisha,Jagatsinghpur
Odisha,Khordha
Odisha,Kendujhar
Odisha,Kalahandi
Odisha,Kandhamal
Odisha,Koraput
Odisha,Kendrapara
Odisha,Malkangiri
Odisha,Mayurbhanj
Odisha,Nabarangpur
Odisha,Nuapada
Odisha,Nayagarh
Odisha,Puri
Odisha,Rayagada
Odisha,Sambalpur
Odisha,Subarnapur
Odisha,Sundargarh
Punjab,Amritsar
Punjab,Barnala
Punjab,Bathinda
Punjab,Faridkot
Punjab,Fatehgarh Sahib
Punjab,Fazilka[a]
Punjab,Firozpur
Punjab,Gurdaspur
Punjab,Hoshiarpur
Punjab,Jalandhar
Punjab,Kapurthala
Punjab,Ludhiana
Punjab,Malerkotla
Punjab,Mansa
Punjab,Moga
Punjab,Pathankot
Punjab,Patiala
Punjab,Rupnagar
Punjab,Sahibzada Ajit Singh Nagar
Punjab,Sangrur
Punjab,Shahid Bhagat Singh Nagar
Punjab,Sri Muktsar Sahib
Punjab,Tarn Taran
Rajasthan,Ajmer
Rajasthan,Alwar
Rajasthan,Balotra
Rajasthan,Banswara
Rajasthan,Baran
Rajasthan,Barmer
Rajasthan,Beawar
Rajasthan,Bharatpur
Rajasthan,Bhilwara
Rajasthan,Bikaner
Rajasthan,Bundi
Rajasthan,Chittorgarh
Rajasthan,Churu
Rajasthan,Dausa
Rajasthan,Deeg
Rajasthan,Dholpur
Rajasthan,Didwana Kuchaman
Rajasthan,Dungarpur
Rajasthan,Hanumangarh
Rajasthan,Jaipur
Rajasthan,Jaisalmer
Rajasthan,Jalore
Rajasthan,Jhalawar
Rajasthan,Jhunjhunu
Rajasthan,Jodhpur
Rajasthan,Karauli
Rajasthan,Khairthal-Tijara
Rajasthan,Kota
Rajasthan,Kotputli-Behror
Rajasthan,Nagaur
Rajasthan,Pali
Rajasthan,Phalodi
Rajasthan,Pratapgarh
Rajasthan,Rajsamand
Rajasthan,Salumbar
Rajasthan,Sawai Madhopur
Rajasthan,Sikar
Rajasthan,Sirohi
Rajasthan,Sri Ganganagar
Rajasthan,Tonk
Rajasthan,Udaipur
Sikkim,Gangtok
Sikkim,Gyalshing
Sikkim,Mangan
Sikkim,Namchi
Sikkim,Pakyong
Sikkim,Soreng
Tamil Nadu,Ariyalur
Tamil Nadu,Chengalpattu
Tamil Nadu,Chennai
Tamil Nadu,Coimbatore
Tamil Nadu,Cuddalore
Tamil Nadu,Dharmapuri
Tamil Nadu,Dindigul
Tamil Nadu,Erode
Tamil Nadu,Kallakurichi
Tamil Nadu,Kanchipuram
Tamil Nadu,Kanyakumari
Tamil Nadu,Karur
Tamil Nadu,Krishnagiri
Tamil Nadu,Madurai
Tamil Nadu,Mayiladuthurai
Tamil Nadu,Nagapattinam
Tamil Nadu,Nilgiris
Tamil Nadu,Namakkal
Tamil Nadu,Perambalur
Tamil Nadu,Pudukkottai
Tamil Nadu,Ramanathapuram
Tamil Nadu,Ranipet
Tamil Nadu,Salem
Tamil Nadu,Sivaganga
Tamil Nadu,Tenkasi
Tamil Nadu,Tiruppur
Tamil Nadu,Tiruchirappalli
Tamil Nadu,Theni
Tamil Nadu,Tirunelveli
Tamil Nadu,Thanjavur
Tamil Nadu,Thoothukudi
Tamil Nadu,Tirupattur
Tamil Nadu,Tiruvallur
Tamil Nadu,Tiruvarur
Tamil Nadu,Tiruvannamalai
Tamil Nadu,Vellore
Tamil Nadu,Viluppuram
Tamil Nadu,Virudhunagar
Telangana,Adilabad
Telangana,Bhadradri Kothagudem
Telangana,Hanamkonda
Telangana,Hyderabad
Telangana,Jagtial
Telangana,Jangaon
Telangana,Jayashankar Bhupalpally
Telangana,Jogulamba Gadwal
Telangana,Kamareddy
Telangana,Karimnagar
Telangana,Khammam
Telangana,Kumuram Bheem Asifabad
Telangana,Mahabubabad
Telangana,Mahbubnagar
Telangana,Mancherial
Telangana,Medak
Telangana,Medchal–Malkajgiri
Telangana,Mulugu
Telangana,Nalgonda
Telangana,Nagarkurnool
Telangana,Narayanpet
Telangana,Nirmal
Telangana,Nizamabad
Telangana,Peddapalli
Telangana,Rajanna Sircilla
Telangana,Ranga Reddy
Telangana,Sangareddy
Telangana,Siddipet
Telangana,Suryapet
Telangana,Vikarabad
Telangana,Wanaparthy
Telangana,Warangal
Telangana,Yadadri Bhuvanagiri
Tripura,Dhalai
Tripura,Gomati
Tripura,Khowai[a]
Tripura,North Tripura
Tripura,Sepahijala[b]
Tripura,South Tripura
Tripura,Unakoti[c]
Tripura,West Tripura
Uttar Pradesh,Agra
Uttar Pradesh,Aligarh
Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Amethi
Uttar Pradesh,Amroha
Uttar Pradesh,Auraiya
Uttar Pradesh,Ayodhya
Uttar Pradesh,Azamgarh
Uttar Pradesh,Bagpat
Uttar Pradesh,Bahraich
Uttar Pradesh,Ballia
Uttar Pradesh,Balrampur
Uttar Pradesh,Banda
Uttar Pradesh,Barabanki
Uttar Pradesh,Bareilly
Uttar Pradesh,Basti
Uttar Pradesh,Bhadohi
Uttar Pradesh,Bijnor
Uttar Pradesh,Budaun
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Chandauli
Uttar Pradesh,Chitrakoot
Uttar Pradesh,Deoria
Uttar Pradesh,Etah
Uttar Pradesh,Etawah
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Fatehpur
Uttar Pradesh,Firozabad
Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Ghazipur
Uttar Pradesh,Gonda
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Hamirpur
Uttar Pradesh,Hapur
Uttar Pradesh,Hardoi
Uttar Pradesh,Hathras
Uttar Pradesh,Jalaun
Uttar Pradesh,Jaunpur
Uttar Pradesh,Jhansi
Uttar Pradesh,Kannauj
Uttar Pradesh,Kanpur Dehat
Uttar Pradesh,Kanpur Nagar
Uttar Pradesh,Kasganj
Uttar Pradesh,Kaushambi
Uttar Pradesh,Kushinagar
Uttar Pradesh,Lakhimpur Kheri
Uttar Pradesh,Lalitpur
Uttar Pradesh,Lucknow
Uttar Pradesh,Maharajganj
Uttar Pradesh,Mahoba
Uttar Pradesh,Mainpuri
Uttar Pradesh,Mathura
Uttar Pradesh,Mau
Uttar Pradesh,Meerut
Uttar Pradesh,Mirzapur
Uttar Pradesh,Moradabad
Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Pilibhit
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Prayagraj
Uttar Pradesh,Raebareli
Uttar Pradesh,Rampur
Uttar Pradesh,Saharanpur
Uttar Pradesh,Sambhal
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Shamli[3]
Uttar Pradesh,Shravasti
Uttar Pradesh,Siddharthnagar
Uttar Pradesh,Sitapur
Uttar Pradesh,Sonbhadra
Uttar Pradesh,Sultanpur
Uttar Pradesh,Unnao
Uttar Pradesh,Varanasi
Uttarakhand,Almora
Uttarakhand,Bageshwar
Uttarakhand,Chamoli
Uttarakhand,Champawat
Uttarakhand,Dehradun
Uttarakhand,Haridwar
Uttarakhand,Nainital
Uttarakhand,Pauri Garhwal
Uttarakhand,Pithoragarh
Uttarakhand,Rudraprayag
Uttarakhand,Tehri Garhwal
Uttarakhand,Udham Singh Nagar
Uttarakhand,Uttarkashi
West Bengal,Alipurduar
West Bengal,Bankura
West Bengal,Birbhum
West Bengal,Cooch Behar
West Bengal,Dakshin Dinajpur
West Bengal,Darjeeling
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Jalpaiguri
West Bengal,Jhargram
West Bengal,Kalimpong
West Bengal,Kolkata
West Bengal,Maldah
West Bengal,Murshidabad
West Bengal,Nadia
West Bengal,North 24 Parganas
West Bengal,Paschim Bardhaman
West Bengal,Paschim Medinipur
