state,district,geoname_id
Andhra Pradesh,Bapatla,1277183
Andhra Pradesh,Chittoor,1274033
Andhra Pradesh,Guntur,1270668
Andhra Pradesh,Kakinada,1268561
Andhra Pradesh,Kurnool,1265491
Andhra Pradesh,Nandyal,1261927
Andhra Pradesh,Nellore,1261529
Andhra Pradesh,Tirupati,1254360
Andhra Pradesh,Visakhapatnam,1253102
Andhra Pradesh,Vizianagaram,1253084
Arunachal Pradesh,Tawang,1254832
Assam,Barpeta,1276867
Assam,Bongaigaon,1275321
Assam,Dhemaji,1272783
Assam,Dibrugarh,1272648
Assam,Goalpara,1271151
Assam,Golaghat,1271050
Assam,Hailakandi,1270530
Assam,Hojai,1269993
Assam,Jorhat,1268820
Assam,Karimganj,1267758
Assam,Kokrajhar,1266330
Assam,Morigaon,7302854
Assam,Tinsukia,1254432
Assam,Udalguri,1253977
Bihar,Araria,1278446
Bihar,Aurangabad,1278148
Bihar,Banka,1277289
Bihar,Begusarai,1276609
Bihar,Bhagalpur,1276300
Bihar,Buxar,1275019
Bihar,Darbhanga,1273491
Bihar,Gaya,1271439
Bihar,Gopalganj,1270965
Bihar,Jamui,1269291
Bihar,Katihar,1267480
Bihar,Khagaria,1267189
Bihar,Kishanganj,1266489
Bihar,Madhubani,1264555
Bihar,Muzaffarpur,1262330
Bihar,Nawada,1261631
Bihar,Patna,1260086
Bihar,Purnia,1259166
Bihar,Saharsa,1257804
Bihar,Samastipur,1257551
Bihar,Sheikhpura,1256698
Bihar,Sheohar,1256597
Bihar,Sitamarhi,1255983
Bihar,Siwan,1255927
Bihar,Supaul,1255396
Chhattisgarh,Balod,1277535
Chhattisgarh,Baloda Bazar,1277530
Chhattisgarh,Bemetara,1276478
Chhattisgarh,Bilaspur,1275637
Chhattisgarh,Dhamtari,1272997
Chhattisgarh,Durg,1272181
Chhattisgarh,Gariaband,1271534
Chhattisgarh,Kanker,1268031
Chhattisgarh,Kondagaon,1266216
Chhattisgarh,Korba,1266122
Chhattisgarh,Mahasamund,1264414
Chhattisgarh,Mungeli,1262484
Chhattisgarh,Raigarh,1259005
Chhattisgarh,Raipur,1258980
Chhattisgarh,Sakti,1257673
Gujarat,Ahmedabad,1279233
Gujarat,Amreli,1278715
Gujarat,Anand,1278685
Gujarat,Bharuch,1276100
Gujarat,Bhavnagar,1276032
Gujarat,Botad,1275218
Gujarat,Jamnagar,1269317
Gujarat,Junagadh,1268773
Gujarat,Kheda,1266809
Gujarat,Morbi,1262775
Gujarat,Patan,1260173
Gujarat,Porbandar,1259395
Gujarat,Rajkot,1258847
Gujarat,Surat,1255364
Gujarat,Surendranagar,1255349
Gujarat,Vadodara,1253573
Gujarat,Valsad,1253468
Haryana,Ambala,1278860
Haryana,Bhiwani,1275899
Haryana,Charkhi Dadri,1274571
Haryana,Faridabad,1271951
Haryana,Fatehabad,1271934
Haryana,Hisar,1270022
Haryana,Jhajjar,1269042
Haryana,Jind,1268907
Haryana,Kaithal,1268593
Haryana,Karnal,1267708
Haryana,Mahendragarh,1264395
Haryana,Nuh,1261145
Haryana,Palwal,1260637
Haryana,Panchkula,6690108
Haryana,Panipat,1260476
Haryana,Rewari,1258178
Haryana,Rohtak,1258076
Haryana,Sirsa,1256052
