year,month,day
1892,January,16
1892,January,17
1892,January,18
1892,January,19
1892,January,20
1892,January,21
1892,January,24
1892,January,25
1892,January,26
1892,January,27
1892,February,2
1892,February,3
1892,February,6
1892,February,7
1892,February,12
1892,February,13
1892,February,14
1892,February,15
1892,February,16
1892,February,18
1892,February,19
1892,February,21
1892,February,23
1892,February,25
1892,February,29
1892,March,1
1892,March,5
1892,March,6
1892,April,13
1892,April,15
1892,April,16
1892,April,17
1892,April,18
1892,April,19
1892,April,20
1892,April,24
1892,April,28
1892,April,29
1892,April,30
1892,May,4
1892,May,5
1892,May,6
1892,May,7
1892,May,13
1892,May,15
1892,May,16
1892,May,17
1892,May,21
1892,May,22
1892,May,23
1892,May,26
1892,May,27
1892,June,1
1892,June,3
1892,June,4
1892,June,7
1892,June,8
1892,June,9
1892,June,11
1892,June,12
1892,June,13
1892,June,17
1892,June,18
1892,June,19
1892,June,28
1892,June,29
1892,June,30
1892,November,1
1892,November,2
1892,November,6
1892,November,7
1892,November,11
1892,November,12
1892,November,15
1892,November,17
1892,November,20
1892,November,21
1892,November,22
1892,November,24
1892,November,28
1892,November,29
1892,December,3
1892,December,4
1892,December,5
1892,December,11
1892,December,12
1893,January,13
1893,January,14
1893,January,15
1893,January,22
1893,January,23
1893,January,24
1893,January,27
1893,January,28
1893,February,1
1893,February,2
1893,February,3
1893,February,4
1893,February,5
1893,February,7
1893,February,8
1893,February,9
1893,February,11
1893,February,13
1893,February,18
1893,February,19
1893,February,24
1893,February,25
1893,March,1
1893,March,5
1893,March,6
1893,March,7
1893,March,8
1893,March,9
1893,March,11
1893,May,29
1893,May,30
1893,June,1
1893,June,2
1893,June,3
1893,June,4
1893,June,8
1893,June,9
1893,June,12
1893,November,20
1893,November,23
1893,November,24
1893,November,25
1893,December,1
1893,December,2
1893,December,3
1893,December,4
1893,December,5
1893,December,11
1893,December,12
1894,January,13
1894,January,14
1894,January,17
1894,January,18
1894,January,19
1894,January,23
1894,January,25
1894,January,26
1894,January,30
1894,February,1
1894,February,2
1894,February,3
1894,February,8
1894,February,20
1894,February,21
1894,February,24
1894,February,25
1894,February,26
1894,February,27
1894,February,28
1894,March,1
1894,March,2
1894,March,3
1894,March,8
1894,March,9
1894,April,17
1894,April,18
1894,April,19
1894,April,20
1894,April,21
1894,April,22
1894,April,24
1894,April,25
1894,April,27
1894,May,3
