state_name,matched_state,state_score,district_name,matched_district,district_score,geoname_id
Andhra Pradesh,Andhra Pradesh,100.0,Alluri Sitharama Raju,Alluri Sitharama Raju,100.0,12680239
Andhra Pradesh,Andhra Pradesh,100.0,Anakapalli,Anakapalli,100.0,12680240
Andhra Pradesh,Andhra Pradesh,100.0,Ananthapuramu,Ananthapur,86.95652173913044,1278673
Andhra Pradesh,Andhra Pradesh,100.0,Annamayya,Annamayya,100.0,12680241
Andhra Pradesh,Andhra Pradesh,100.0,Dr. B.R. Ambedkar Konaseema,Konaseema,90.0,12680249
Andhra Pradesh,Andhra Pradesh,100.0,East Godavari,East Godavari,100.0,1272123
Andhra Pradesh,Andhra Pradesh,100.0,Eluru,Eluru,100.0,12680246
Andhra Pradesh,Andhra Pradesh,100.0,Krishna,Krishna,100.0,1265869
Andhra Pradesh,Andhra Pradesh,100.0,NTR,NTR,100.0,12680255
Andhra Pradesh,Andhra Pradesh,100.0,Palnadu,Palnadu,100.0,12680257
Andhra Pradesh,Andhra Pradesh,100.0,Parvathipuram Manyam,Parvathipuram Manyam,100.0,12680258
Andhra Pradesh,Andhra Pradesh,100.0,Prakasam,Prakasam,100.0,1259346
Andhra Pradesh,Andhra Pradesh,100.0,Srikakulam,Srikakulam,100.0,1255649
Andhra Pradesh,Andhra Pradesh,100.0,Sri Sathya Sai,Sri Sathya Sai,100.0,12680263
Andhra Pradesh,Andhra Pradesh,100.0,West Godavari,West Godavari,100.0,1252873
Andhra Pradesh,Andhra Pradesh,100.0,YSR Kadapa,YSR Kadapa,100.0,1273801
Arunachal Pradesh,Arunachal Pradesh,100.0,Anjaw,Anjaw,100.0,9747950
Arunachal Pradesh,Arunachal Pradesh,100.0,Changlang,Changlang,100.0,9747946
Arunachal Pradesh,Arunachal Pradesh,100.0,East Kameng,East Kameng,100.0,1272120
Arunachal Pradesh,Arunachal Pradesh,100.0,East Siang,East Siang,100.0,1272115
Arunachal Pradesh,Arunachal Pradesh,100.0,Kamle,Kamle,100.0,12572553
Arunachal Pradesh,Arunachal Pradesh,100.0,Kra Daadi,Kra Daadi,100.0,11875510
Arunachal Pradesh,Arunachal Pradesh,100.0,Kurung Kumey,Kurung Kumey,100.0,9748007
Arunachal Pradesh,Arunachal Pradesh,100.0,Lepa Rada,Lepa Rada,100.0,12572554
Arunachal Pradesh,Arunachal Pradesh,100.0,Lohit,Lohit,100.0,1264818
Arunachal Pradesh,Arunachal Pradesh,100.0,Longding,Longding,100.0,11875575
Arunachal Pradesh,Arunachal Pradesh,100.0,Lower Dibang Valley,Lower Dibang Valley,100.0,9748012
Arunachal Pradesh,Arunachal Pradesh,100.0,Lower Siang,Lower Siang,100.0,11902898
Arunachal Pradesh,Arunachal Pradesh,100.0,Lower Subansiri,Lower Subansiri,100.0,1264739
Arunachal Pradesh,Arunachal Pradesh,100.0,Namsai,Namsai,100.0,11875509
Arunachal Pradesh,Arunachal Pradesh,100.0,Pakke-Kessang,Pakke Kessang,92.3076923076923,12572547
Arunachal Pradesh,Arunachal Pradesh,100.0,Papum Pare,Papum Pare,100.0,9748025
Arunachal Pradesh,Arunachal Pradesh,100.0,Shi Yomi,Shi Yomi,100.0,12572546
Arunachal Pradesh,Arunachal Pradesh,100.0,Siang,Siang,100.0,11875511
Arunachal Pradesh,Arunachal Pradesh,100.0,Tirap,Tirap,100.0,1254418
Arunachal Pradesh,Arunachal Pradesh,100.0,Upper Dibang Valley,Dibang Valley,95.0,1272651
Arunachal Pradesh,Arunachal Pradesh,100.0,Upper Siang,Upper Siang,100.0,9748035
Arunachal Pradesh,Arunachal Pradesh,100.0,Upper Subansiri,Upper Subansiri,100.0,1253720
Arunachal Pradesh,Arunachal Pradesh,100.0,West Kameng,West Kameng,100.0,1252869
Arunachal Pradesh,Arunachal Pradesh,100.0,West Siang,West Siang,100.0,1252865
Arunachal Pradesh,Arunachal Pradesh,100.0,Keyi Panyor,,0.0,
Arunachal Pradesh,Arunachal Pradesh,100.0,Bichom,,0.0,
Assam,Assam,100.0,Baksa,Baksa,100.0,8985782
Assam,Assam,100.0,Bajali,Bajali,100.0,12680242
Assam,Assam,100.0,Biswanath,Biswanath,100.0,11875508
Assam,Assam,100.0,Cachar,Cachar,100.0,1275009
Assam,Assam,100.0,Charaideo,Charaideo,100.0,11875512
Assam,Assam,100.0,Chirang,Chirang,100.0,8805933
Assam,Assam,100.0,Darrang,Darrang,100.0,1273451
Assam,Assam,100.0,Dhubri,Dhubri,100.0,7627078
Assam,Assam,100.0,Dima Hasao,Dima Hasao,100.0,1261192
Assam,Assam,100.0,Kamrup,Kamrup,100.0,1268209
Assam,Assam,100.0,Kamrup Metropolitan,Kamrup Metropolitan,100.0,9747984
Assam,Assam,100.0,Karbi Anglong,Karbi Anglong,100.0,1267812
Assam,Assam,100.0,Lakhimpur,Lakhimpur,100.0,1265243
Assam,Assam,100.0,Majuli,Majuli,100.0,11875578
Assam,Assam,100.0,Nagaon,Nagaon,100.0,8849144
Assam,Assam,100.0,Nalbari,Nalbari,100.0,7627084
Assam,Assam,100.0,Sivasagar,Sivasagar,100.0,1256389
Assam,Assam,100.0,Sonitpur,Sonitpur,100.0,8739997
Assam,Assam,100.0,South Salmara-Mankachar,South Salmara Mancachar,91.30434782608697,11875515
Assam,Assam,100.0,Tamulpur,Tamulpur,100.0,12680267
Assam,Assam,100.0,West Karbi Anglong,West Karbi Anglong,100.0,11875514
Bihar,Bihar,100.0,Arwal,Arwal,100.0,9748038
Bihar,Bihar,100.0,Bhojpur,Bhojpur,100.0,1275871
Bihar,Bihar,100.0,East Champaran,East Champaran,100.0,1259186
Bihar,Bihar,100.0,Jehanabad,Jehanabad,100.0,7627222
Bihar,Bihar,100.0,Kaimur,Kaimur District,90.0,8740934
Bihar,Bihar,100.0,Lakhisarai,Lakhisarai,100.0,7627235
Bihar,Bihar,100.0,Madhepura,Madhepura,100.0,7626568
Bihar,Bihar,100.0,Munger,Munger,100.0,1262483
Bihar,Bihar,100.0,Nalanda,Nalanda,100.0,1262081
Bihar,Bihar,100.0,Rohtas,Rohtas,100.0,1258074
Bihar,Bihar,100.0,Saran,Saran,100.0,1257248
Bihar,Bihar,100.0,Vaishali,Vaishali,100.0,1253533
Bihar,Bihar,100.0,West Champaran,West Champaran,100.0,1260208
Chhattisgarh,Chhattisgarh,100.0,Balrampur-Ramanujganj,Balrampur,90.0,11875517
Chhattisgarh,Chhattisgarh,100.0,Bastar,Bastar,100.0,1276739
Chhattisgarh,Chhattisgarh,100.0,Dantewada,Dantewada,100.0,9747953
Chhattisgarh,Chhattisgarh,100.0,Gaurela-Pendra-Marwahi,Gaurella Pendra Marwahi,88.88888888888889,12680247
Chhattisgarh,Chhattisgarh,100.0,Janjgir-Champa,Janjgir-Champa,100.0,7627225
Chhattisgarh,Chhattisgarh,100.0,Jashpur,Jashpur,100.0,7701599
