state,district
Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh,Anakapalli
Andhra Pradesh,Ananthapuramu
Andhra Pradesh,Annamayya
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema
Andhra Pradesh,East Godavari
Andhra Pradesh,Eluru
Andhra Pradesh,Krishna
Andhra Pradesh,NTR
Andhra Pradesh,Palnadu
Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh,Prakasam
Andhra Pradesh,Srikakulam
Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh,West Godavari
Andhra Pradesh,YSR Kadapa
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Changlang
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Kamle
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Lepa Rada
Arunachal Pradesh,Lohit
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Namsai
Arunachal Pradesh,Pakke-Kessang
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Siang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Dibang Valley
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Arunachal Pradesh,West Siang
Arunachal Pradesh,Keyi Panyor
Arunachal Pradesh,Bichom
Assam,Baksa
Assam,Bajali
Assam,Biswanath
Assam,Cachar
Assam,Charaideo
Assam,Chirang
Assam,Darrang
Assam,Dhubri
Assam,Dima Hasao
Assam,Kamrup
Assam,Kamrup Metropolitan
Assam,Karbi Anglong
Assam,Lakhimpur
Assam,Majuli
Assam,Nagaon
Assam,Nalbari
Assam,Sivasagar
Assam,Sonitpur
Assam,South Salmara-Mankachar
Assam,Tamulpur
Assam,West Karbi Anglong
Bihar,Arwal
Bihar,Bhojpur
Bihar,East Champaran
Bihar,Jehanabad
Bihar,Kaimur
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Munger
Bihar,Nalanda
Bihar,Rohtas
Bihar,Saran
Bihar,Vaishali
Bihar,West Champaran
Chhattisgarh,Balrampur-Ramanujganj
Chhattisgarh,Bastar
Chhattisgarh,Dantewada
Chhattisgarh,Gaurela-Pendra-Marwahi
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Jashpur
Chhattisgarh,Kabirdham
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai
Chhattisgarh,Korea
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki
Chhattisgarh,Narayanpur
Chhattisgarh,Rajnandgaon
Chhattisgarh,Sarangarh-Bilaigarh
Chhattisgarh,Sukma
Chhattisgarh,Surajpur
Chhattisgarh,Surguja
Goa,North Goa
Goa,South Goa
Gujarat,Aravalli
Gujarat,Banaskantha
Gujarat,Chhota Udaipur
Gujarat,Dahod
Gujarat,Dang
Gujarat,Devbhumi Dwarka
Gujarat,Gandhinagar
Gujarat,Gir Somnath
Gujarat,Kutch
Gujarat,Mahisagar
Gujarat,Mehsana
Gujarat,Narmada
Gujarat,Navsari
Gujarat,Panchmahal
Gujarat,Sabarkantha
Gujarat,Tapi
Gujarat,Vav-Tharad
Haryana,Gurugram
Haryana,Kurukshetra
Himachal Pradesh,Kangra
Himachal Pradesh,Kinnaur
Himachal Pradesh,Kullu
Himachal Pradesh,Lahaul and Spiti
Himachal Pradesh,Sirmaur
Jharkhand,Deoghar
Jharkhand,East Singhbhum
Jharkhand,Hazaribag
Jharkhand,Koderma
Jharkhand,Pakur
Jharkhand,Palamu
Jharkhand,Seraikela-Kharsawan
Jharkhand,West Singhbhum
Karnataka,Ballari
Karnataka,Belagavi
Karnataka,Bangalore Rural
Karnataka,Bangalore Urban
Karnataka,Chamarajanagar
Karnataka,Chikkaballapur
Karnataka,Dakshina Kannada
Karnataka,Davanagere
Karnataka,Gadaga
Karnataka,Kalaburagi
Karnataka,Kodagu
Karnataka,Ramanagara
Karnataka,Tumakuru
Karnataka,Udupi
Karnataka,Uttara Kannada
Karnataka,Vijayanagara
Kerala,Alappuzha
Kerala,Palakkad
Kerala,Thrissur
Kerala,Wayanad
Madhya Pradesh,Agar Malwa
Madhya Pradesh,Alirajpur
Madhya Pradesh,Harda
Madhya Pradesh,Katni
Madhya Pradesh,Narsinghpur
Madhya Pradesh,Neemuch
Madhya Pradesh,Niwari
Madhya Pradesh,Sagar
Maharashtra,Ahmednagar
Maharashtra,Buldhana
Maharashtra,Chandrapur
Maharashtra,Dhule
Maharashtra,Gadchiroli
Maharashtra,Mumbai City
Maharashtra,Mumbai Suburban
Maharashtra,Raigad
Maharashtra,Sindhudurg
Manipur,Chandel
Manipur,Imphal East
Manipur,Imphal West
Manipur,Jiribam
Manipur,Kamjong
Manipur,Kangpokpi
Manipur,Noney
Manipur,Pherzawl
Manipur,Senapati
Manipur,Tamenglong
Manipur,Tengnoupal
Manipur,Ukhrul
Meghalaya,East Garo Hills
Meghalaya,East Jaintia Hills
Meghalaya,East Khasi Hills
Meghalaya,Eastern West Khasi Hills
Meghalaya,North Garo Hills
Meghalaya,Ri Bhoi
Meghalaya,South Garo Hills
Meghalaya,South West Garo Hills
Meghalaya,South West Khasi Hills
Meghalaya,West Garo Hills
Meghalaya,West Jaintia Hills
Meghalaya,West Khasi Hills
Mizoram,Champhai
Mizoram,Hnahthial
Mizoram,Khawzawl
Mizoram,Lawngtlai
Mizoram,Saitual
Nagaland,Chümoukedima
Nagaland,Kiphire
Nagaland,Niuland
Nagaland,Noklak
Nagaland,Peren
Nagaland,Phek
Nagaland,Shamator
Nagaland,Tseminyü
Odisha,Boudh
Odisha,Bhadrak
Odisha,Debagarh
Odisha,Gajapati
Odisha,Jharsuguda
Odisha,Jagatsinghpur
Odisha,Khordha
Odisha,Kendujhar
Odisha,Kalahandi
Odisha,Kandhamal
Odisha,Kendrapara
Odisha,Malkangiri
Odisha,Mayurbhanj
Odisha,Nabarangpur
Odisha,Nuapada
Odisha,Rayagada
Odisha,Subarnapur
Punjab,Fatehgarh Sahib
Punjab,Fazilka[a]
Punjab,Firozpur
Punjab,Gurdaspur
Punjab,Malerkotla
Punjab,Rupnagar
Punjab,Sahibzada Ajit Singh Nagar
Punjab,Shahid Bhagat Singh Nagar
Punjab,Sri Muktsar Sahib
Rajasthan,Chittorgarh
Rajasthan,Deeg
Rajasthan,Dholpur
Rajasthan,Didwana Kuchaman
Rajasthan,Jalore
Rajasthan,Jhunjhunu
Rajasthan,Khairthal-Tijara
Rajasthan,Kotputli-Behror
Rajasthan,Sri Ganganagar
Sikkim,Gyalshing
Sikkim,Pakyong
Sikkim,Soreng
Tamil Nadu,Chengalpattu
Tamil Nadu,Kallakurichi
Tamil Nadu,Kanyakumari
Tamil Nadu,Nagapattinam
Tamil Nadu,Nilgiris
Tamil Nadu,Ranipet
Tamil Nadu,Tenkasi
Tamil Nadu,Theni
Tamil Nadu,Thanjavur
Tamil Nadu,Tirupattur
Tamil Nadu,Tiruvarur
Tamil Nadu,Viluppuram
Tamil Nadu,Virudhunagar
Telangana,Bhadradri Kothagudem
Telangana,Hanamkonda
Telangana,Jayashankar Bhupalpally
Telangana,Jogulamba Gadwal
Telangana,Kamareddy
Telangana,Kumuram Bheem Asifabad
Telangana,Mahabubabad
Telangana,Mancherial
Telangana,Medchal–Malkajgiri
Telangana,Mulugu
Telangana,Nagarkurnool
Telangana,Rajanna Sircilla
Telangana,Ranga Reddy
Telangana,Sangareddy
Telangana,Suryapet
Telangana,Wanaparthy
Telangana,Yadadri Bhuvanagiri
Tripura,Dhalai
Tripura,Gomati
Tripura,Khowai[a]
Tripura,North Tripura
Tripura,Sepahijala[b]
Tripura,South Tripura
Tripura,Unakoti[c]
Tripura,West Tripura
Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Ayodhya
Uttar Pradesh,Bagpat
Uttar Pradesh,Bahraich
Uttar Pradesh,Ballia
Uttar Pradesh,Barabanki
Uttar Pradesh,Chitrakoot
Uttar Pradesh,Etah
Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Gonda
Uttar Pradesh,Kanpur Dehat
Uttar Pradesh,Kanpur Nagar
Uttar Pradesh,Kaushambi
Uttar Pradesh,Kushinagar
Uttar Pradesh,Lakhimpur Kheri
Uttar Pradesh,Prayagraj
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Shamli[3]
Uttar Pradesh,Shravasti
Uttar Pradesh,Siddharthnagar
Uttar Pradesh,Sonbhadra
Uttarakhand,Chamoli
Uttarakhand,Dehradun
Uttarakhand,Nainital
Uttarakhand,Pauri Garhwal
Uttarakhand,Tehri Garhwal
Uttarakhand,Udham Singh Nagar
West Bengal,Alipurduar
West Bengal,Birbhum
West Bengal,Cooch Behar
West Bengal,Dakshin Dinajpur
West Bengal,Darjeeling
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Maldah
West Bengal,Nadia
West Bengal,North 24 Parganas
West Bengal,Paschim Bardhaman
West Bengal,Paschim Medinipur
West Bengal,Purba Bardhaman
West Bengal,Purba Medinipur
West Bengal,Purulia
West Bengal,South 24 Parganas
West Bengal,Uttar Dinajpur
Andaman and Nicobar,Nicobar
Andaman and Nicobar,North and Middle Andaman
Andaman and Nicobar,South Andaman
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli
Dadra and Nagar Haveli and Daman and Diu,Daman
Dadra and Nagar Haveli and Daman and Diu,Diu
Jammu and Kashmir,Budgam
Jammu and Kashmir,Bandipore
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Poonch
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Reasi
Jammu and Kashmir,Shopian
Ladakh,Kargil
Ladakh,Leh
Lakshadweep,Lakshadweep
National Capital Territory of Delhi,Central Delhi
National Capital Territory of Delhi,East Delhi
National Capital Territory of Delhi,New Delhi
National Capital Territory of Delhi,North Delhi
National Capital Territory of Delhi,North East Delhi
National Capital Territory of Delhi,North West Delhi
National Capital Territory of Delhi,Shahdara
National Capital Territory of Delhi,South Delhi
National Capital Territory of Delhi,South East Delhi
National Capital Territory of Delhi,South West Delhi
National Capital Territory of Delhi,West Delhi
Puducherry,Mahé
Puducherry,Yanam
