state,district_expected,status,matched_file,similarity
A&N Island,North & Middle Andaman,⚠️ close match,North and Middle Andaman.csv,1.00
A&N Island,South Andamana,⚠️ close match,South Andaman.csv,0.96
Andra Pradesh,Anantpur,⚠️ close match,Ananthapur.csv,0.89
Andra Pradesh,Chitoor,⚠️ close match,Chittoor.csv,0.93
Andra Pradesh,Sri Potti Sriramulu Nellore,❌ missing district,Nellore.csv,0.41
Andra Pradesh,Vishakapatnam,⚠️ close match,Visakhapatnam.csv,0.92
Andra Pradesh,Y.S.R.,❌ missing district,YSR Kadapa.csv,0.38
Arunachal Pradesh,Kurung Kamey,⚠️ close match,Kurung Kumey.csv,0.92
Arunachal Pradesh,Papumpare,⚠️ close match,Papum Pare.csv,0.95
Assam,Marigaon,⚠️ close match,Morigaon.csv,0.88
Assam,North Cachar Hills,❌ missing district,Cachar.csv,0.50
Assam,Sibsagar,⚠️ close match,Sivasagar.csv,0.82
Bihar,Kaimur (Bhabua),❌ missing district,Darbhanga.csv,0.50
Bihar,Pashchim Champaran,⚠️ close match,East Champaran.csv,0.75
Bihar,Purba Champaran,⚠️ close match,East Champaran.csv,0.76
Chhattisgarh,Janjgir - Champa,⚠️ close match,Janjgir-Champa.csv,0.93
Chhattisgarh,Kawardha,⚠️ close match,Kabirdham.csv,0.71
Chhattisgarh,Koriya,⚠️ close match,Korba.csv,0.73
Haryana,Gurgaon,❌ missing district,Gurugram.csv,0.67
Haryana,Mewat,❌ missing district,Rewari.csv,0.55
Haryana,Panipath,⚠️ close match,Panipat.csv,0.93
Haryana,Sonipath,⚠️ close match,Sonipat.csv,0.93
Himachal Pradesh,Lahul & Spiti,⚠️ close match,Lahul and Spiti.csv,1.00
Jharkhand,Hazaribagh,⚠️ close match,Hazaribag.csv,0.95
Jharkhand,Kodarma,⚠️ close match,Koderma.csv,0.86
Jharkhand,Pakaur,⚠️ close match,Pakur.csv,0.91
Jharkhand,Pashchimi Singhbhum,⚠️ close match,East Singhbhum.csv,0.73
Jharkhand,Purbi Singhbhum,❌ missing district,West Singhbhum.csv,0.69
Karnataka,Bangalore,⚠️ close match,Bangalore Rural.csv,0.75
Karnataka,Belgaum,❌ missing district,Belagavi.csv,0.67
Karnataka,Bellary,⚠️ close match,Ballari.csv,0.71
Karnataka,Chikkaballarpura,⚠️ close match,Chikkaballapur.csv,0.93
Karnataka,Davangere,⚠️ close match,Davanagere.csv,0.95
Karnataka,Gulbarga,❌ missing district,Belagavi.csv,0.50
Karnataka,Tumkur,⚠️ close match,Tumakuru.csv,0.86
Kerala,Mallappuram,⚠️ close match,Malappuram.csv,0.95
Kerala,PALAKKAD,⚠️ close match,Palakkad.csv,1.00
Kerala,Wayanand,⚠️ close match,Wayanad.csv,0.93
Kerala,kollam,⚠️ close match,Kollam.csv,1.00
Madhya Pradesh,Datai,⚠️ close match,Datia.csv,0.80
Madhya Pradesh,East Nimar,❌ missing district,Katni.csv,0.53
